,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,preprocessed_content
0,aa0ea868-0919-4936-b58a-8e0b262d2d21,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,transportasi sih oke but Food noway lebih mahal dibanding yg lain,5.0,0.0,5.28.2,2025-09-27 10:05:06,,,5.28.2,transportasi sih oke but food noway mahal banding
1,38b5cb0b-30df-43ef-aeb6-ad44b6d821fb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus tapi masih ada kekurangannya,4.0,0.0,5.32.1,2025-09-27 09:47:38,,,5.32.1,bagus kurang
2,1d2789d3-d1ee-46ea-a338-77612268c0cc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,5.0,0.0,5.32.1,2025-09-27 09:35:06,,,5.32.1,good
3,"b5a9a303-9610-4e50-951d-73ae00f7ff1c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi jelek setiap udah pesan pasti telat telat Mulu heran sama aplikasi ini!!!!!!!!!!!!!!!!,1,0,5.33.1,2025-09-27 09:15:27,""Hai Kak Eremika, mohon maaf atas ketidaknyamanannya. Agar dapat dibantu lebih lanjut, silakan laporkan melalui menu Bantuan (pada menu Profil Saya) di aplikasi Gojek dengan mengetik """"Driver menjemput terlalu lama"""" pada kolom pencarian. Semoga informasi ini membantu kamu. ^Miko"",2025-09-27 10:35:41,5.33.1",,,,,,,,,,,
4,"d0f28cad-cfb2-48fe-9f84-1bb97060e4be,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,""Tolong Argo Driver disesuaikan,jangan di makan aplikasi mulu.kasian Driver argo 27000 masuk driver 18000.Udah kaya Rentenir Gojek"",5,0,5.32.1,2025-09-27 09:07:02,,,5.32.1",,,,,,,,,,,
5,78946e6f-5bc8-4587-8a3c-fe6a978eea14,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat membantu dalam setiap perjalanan,5.0,0.0,,2025-09-27 08:37:26,,,,bantu jalan
6,cb7af0b0-29db-4b82-bdda-d4c0bae8dcfe,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ok,5.0,1.0,5.32.1,2025-09-27 08:37:08,,,5.32.1,oke
7,"3e2eb1e7-c78d-40d7-bc17-92106ed5df35,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,""TOLONG! ini hp saya kena bug telfon dr driver yg keliatannya tetap nyambung pdhl udh terputus dan tetap ada notifnya! betah bgt di hp saya. Ada tulisan """"A call is on progress, you can only..."""" pas saya pencet dia gamau kemana-mana. Ini ngaruh ke volume saya yg default, jadi pas tkn volume, yg naik turun cuma volume panggilan doang! gak ada menu nada dering, telepon, dll. Walaupun emg bisa diatur sendiri di pengaturan, tapi kan ribet dong tiap mau kerasin volume jadi hrs ke pengaturan dulu!!!"",1,1,5.32.1,2025-09-27 08:16:37,""Hai Kak Sapto, mohon maaf atas kendalanya. Pastikan kamu sudah menggunakan aplikasi Gojek versi terbaru, ya. Jika masih berkendala, silakan laporkan melalui halaman Bantuan > ketik """"Kendala tampilan dan notifikasi"""" di kolom pencarian > pilih artikel dan lengkapi formulirnya. Kami siap membantu. ^Miko"",2025-09-27 10:31:57,5.32.1",,,,,,,,,,,
8,4eac33f0-ae1e-4309-9ab9-b57f464298bd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus,5.0,0.0,5.33.1,2025-09-27 08:15:16,,,5.33.1,bagus
9,4f26ee5e-3b8d-486a-ade7-2c103b3d0360,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantap.... gampang kemana mana. gampang cari makanan dan jajanan. gampang nganter paket. jd gampang semua,5.0,0.0,5.33.1,2025-09-27 08:13:50,,,5.33.1,mantap gampang mana gampang cari makan jajan gampang paket gampang
