reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
aa0ea868-0919-4936-b58a-8e0b262d2d21,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,transportasi sih oke but Food noway lebih mahal dibanding yg lain,5,0,5.28.2,2025-09-27 10:05:06,,,5.28.2
2fe8ac9f-9c47-4342-9d10-83c0a559cb6b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ramah di bnding sebelah kwkwkw,5,0,,2025-09-19 09:31:10,,,
45805d39-ddcf-4566-9508-830a746f5874,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,josjis,5,0,5.31.2,2025-09-19 09:26:44,,,5.31.2
b5a9a303-9610-4e50-951d-73ae00f7ff1c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi jelek setiap udah pesan pasti telat telat Mulu heran sama aplikasi ini!!!!!!!!!!!!!!!!,1,0,5.33.1,2025-09-27 09:15:27,Hai Kak Eremika, mohon maaf atas ketidaknyamanannya. Agar dapat dibantu lebih lanjut, silakan laporkan melalui menu Bantuan (pada menu Profil Saya) di aplikasi Gojek dengan mengetik """"Driver menjemput terlalu lama"""" pada kolom pencarian. Semoga informasi ini membantu kamu. ^Miko"",2025-09-27 10:35:41,5.33.1"
d0f28cad-cfb2-48fe-9f84-1bb97060e4be,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tolong Argo Driver disesuaikan jangan di makan aplikasi mulu.kasian Driver argo 27000 masuk driver 18000.Udah kaya Rentenir Gojek,5,0,5.32.1,2025-09-27 09:07:02,,,5.32.1"
78946e6f-5bc8-4587-8a3c-fe6a978eea14,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat membantu dalam setiap perjalanan,5,0,,2025-09-27 08:37:26,,,
cb7af0b0-29db-4b82-bdda-d4c0bae8dcfe,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ok,5,1,5.32.1,2025-09-27 08:37:08,,,5.32.1
3e2eb1e7-c78d-40d7-bc17-92106ed5df35,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,TOLONG! ini hp saya kena bug telfon dr driver yg keliatannya tetap nyambung pdhl udh terputus dan tetap ada notifnya! betah bgt di hp saya. Ada tulisan """"A call is on progress, you can only..."""" pas saya pencet dia gamau kemana-mana. Ini ngaruh ke volume saya yg default, jadi pas tkn volume, yg naik turun cuma volume panggilan doang! gak ada menu nada dering, telepon, dll. Walaupun emg bisa diatur sendiri di pengaturan, tapi kan ribet dong tiap mau kerasin volume jadi hrs ke pengaturan dulu!!!"",1,1,5.32.1,2025-09-27 08:16:37,""Hai Kak Sapto, mohon maaf atas kendalanya. Pastikan kamu sudah menggunakan aplikasi Gojek versi terbaru, ya. Jika masih berkendala, silakan laporkan melalui halaman Bantuan > ketik """"Kendala tampilan dan notifikasi"""" di kolom pencarian > pilih artikel dan lengkapi formulirnya. Kami siap membantu. ^Miko"",2025-09-27 10:31:57,5.32.1"
4eac33f0-ae1e-4309-9ab9-b57f464298bd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus,5,0,5.33.1,2025-09-27 08:15:16,,,5.33.1
4f26ee5e-3b8d-486a-ade7-2c103b3d0360,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantap.... gampang kemana mana. gampang cari makanan dan jajanan. gampang nganter paket. jd gampang semua,5,0,5.33.1,2025-09-27 08:13:50,,,5.33.1
0876401e-72a4-432f-bc79-fd6550755405,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kenapa fitur chat ilang? ini komunikasi nya gimana?,1,1,5.33.1,2025-09-27 08:09:18,""Hai Kak Lucky, mohon maaf atas kendalanya. Pastikan kamu sudah menggunakan aplikasi Gojek versi terbaru, ya. Jika masih berkendala, silakan laporkan melalui halaman Bantuan > ketik """"Kendala tampilan dan notifikasi"""" di kolom pencarian > pilih artikel dan lengkapi formulirnya. Kami siap membantu. ^Miko"",2025-09-27 10:30:03,5.33.1"
9fa22c4a-cba3-445a-b38a-e988af555cd3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,cs gercep,5,0,,2025-09-27 07:47:34,,,
08d7eb95-e297-45db-9719-9d1c32b0ab2c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,boss,5,0,5.33.1,2025-09-27 07:44:54,,,5.33.1
c729ac3f-d54f-4e31-996b-1b16a27ed471,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,""Chat CS belum chat udah ditutup aja chatnya tolol, , , udah langganan plus eh percuma kalau voucher potongan yg lain gk dapat, , , gk sampai 1 bulan langganan plus gk guna, potongan ongkir bener ilang pakai plus tapi potongan buat pesen makanan pada ilang gk ada voucher promo potongan lagi, , , ya sama aja bohong kalau plus buat ngilangin ongkir tapi gk dapet promo lainnya, mending gk langganan dapet promo banyak potongan , ,"",1,1,5.32.1,2025-09-27 07:34:05,""Hai Kak Achmad, mohon maaf atas ketidaknyamanannya. Jika masih mengalami keluhan, silakan laporkan melalui email ke customerservice@gojek.com dengan melampirkan kode psr-25-270-1025-52370 pada subject email dan cantumkan nomor laporan sebelumnya serta ceritakan kembali detail permasalahannya. Kami tunggu detail laporan kamu ya. ^Miko"",2025-09-27 10:26:28,5.32.1"
91821822-1c58-4912-a7da-eb94b9f57257,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,lebih praktis,5,0,5.33.1,2025-09-27 07:25:10,,,5.33.1
cdbec11f-98ef-4210-94a5-64dea185c98a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,5,0,5.31.2,2025-09-27 07:12:36,,,5.31.2
